owner,control,type,device,legacy_value,expected_class,status,note
wp-widget-media_image,hide_tablet,switcher,,,elementor-hidden-tablet,no-element,the element renders nothing without site content
wp-widget-media_gallery,_element_width,select,,,elementor-widget__width-inherit,no-element,the element renders nothing without site content
wp-widget-media_gallery,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,no-element,the element renders nothing without site content
wp-widget-media_gallery,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,no-element,the element renders nothing without site content
wp-widget-media_gallery,_position,select,,,elementor-absolute,no-element,the element renders nothing without site content
wp-widget-media_gallery,_transform_flipX_effect,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_gallery,_transform_flipX_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_gallery,_transform_flipY_effect,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_gallery,_transform_flipY_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_gallery,_transform_rotate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_gallery,_transform_rotate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_gallery,_transform_scale_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_gallery,_transform_scale_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_gallery,_transform_skew_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_gallery,_transform_skew_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_gallery,_transform_translate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_gallery,_transform_translate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_gallery,animation_duration,select,,,animated-slow,no-element,the element renders nothing without site content
wp-widget-media_gallery,hide_desktop,switcher,,,elementor-hidden-desktop,no-element,the element renders nothing without site content
wp-widget-media_gallery,hide_mobile,switcher,,,elementor-hidden-mobile,no-element,the element renders nothing without site content
wp-widget-media_gallery,hide_tablet,switcher,,,elementor-hidden-tablet,no-element,the element renders nothing without site content
wp-widget-media_video,_element_width,select,,,elementor-widget__width-inherit,no-element,the element renders nothing without site content
wp-widget-media_video,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,no-element,the element renders nothing without site content
wp-widget-media_video,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,no-element,the element renders nothing without site content
wp-widget-media_video,_position,select,,,elementor-absolute,no-element,the element renders nothing without site content
wp-widget-media_video,_transform_flipX_effect,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_video,_transform_flipX_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_video,_transform_flipY_effect,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_video,_transform_flipY_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_video,_transform_rotate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_video,_transform_rotate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_video,_transform_scale_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_video,_transform_scale_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_video,_transform_skew_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_video,_transform_skew_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_video,_transform_translate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_video,_transform_translate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-media_video,animation_duration,select,,,animated-slow,no-element,the element renders nothing without site content
wp-widget-media_video,hide_desktop,switcher,,,elementor-hidden-desktop,no-element,the element renders nothing without site content
wp-widget-media_video,hide_mobile,switcher,,,elementor-hidden-mobile,no-element,the element renders nothing without site content
wp-widget-media_video,hide_tablet,switcher,,,elementor-hidden-tablet,no-element,the element renders nothing without site content
wp-widget-meta,_element_width,select,,,elementor-widget__width-inherit,verified,
wp-widget-meta,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
wp-widget-meta,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
wp-widget-meta,_position,select,,,elementor-absolute,verified,
wp-widget-meta,_transform_flipX_effect,choose,,,e-transform,verified,
wp-widget-meta,_transform_flipX_effect_hover,choose,,,e-transform,verified,
wp-widget-meta,_transform_flipY_effect,choose,,,e-transform,verified,
wp-widget-meta,_transform_flipY_effect_hover,choose,,,e-transform,verified,
wp-widget-meta,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
wp-widget-meta,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-meta,_transform_scale_popover,popover_toggle,,,e-transform,verified,
wp-widget-meta,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-meta,_transform_skew_popover,popover_toggle,,,e-transform,verified,
wp-widget-meta,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-meta,_transform_translate_popover,popover_toggle,,,e-transform,verified,
wp-widget-meta,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-meta,animation_duration,select,,,animated-slow,verified,
wp-widget-meta,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
wp-widget-meta,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
wp-widget-meta,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
wp-widget-search,_element_width,select,,,elementor-widget__width-inherit,verified,
wp-widget-search,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
wp-widget-search,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
wp-widget-search,_position,select,,,elementor-absolute,verified,
wp-widget-search,_transform_flipX_effect,choose,,,e-transform,verified,
wp-widget-search,_transform_flipX_effect_hover,choose,,,e-transform,verified,
wp-widget-search,_transform_flipY_effect,choose,,,e-transform,verified,
wp-widget-search,_transform_flipY_effect_hover,choose,,,e-transform,verified,
wp-widget-search,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
wp-widget-search,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-search,_transform_scale_popover,popover_toggle,,,e-transform,verified,
wp-widget-search,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-search,_transform_skew_popover,popover_toggle,,,e-transform,verified,
wp-widget-search,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-search,_transform_translate_popover,popover_toggle,,,e-transform,verified,
wp-widget-search,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-search,animation_duration,select,,,animated-slow,verified,
wp-widget-search,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
wp-widget-search,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
wp-widget-search,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
wp-widget-text,_element_width,select,,,elementor-widget__width-inherit,verified,
wp-widget-text,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
wp-widget-text,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
wp-widget-text,_position,select,,,elementor-absolute,verified,
wp-widget-text,_transform_flipX_effect,choose,,,e-transform,verified,
wp-widget-text,_transform_flipX_effect_hover,choose,,,e-transform,verified,
wp-widget-text,_transform_flipY_effect,choose,,,e-transform,verified,
wp-widget-text,_transform_flipY_effect_hover,choose,,,e-transform,verified,
wp-widget-text,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
wp-widget-text,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-text,_transform_scale_popover,popover_toggle,,,e-transform,verified,
wp-widget-text,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-text,_transform_skew_popover,popover_toggle,,,e-transform,verified,
wp-widget-text,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-text,_transform_translate_popover,popover_toggle,,,e-transform,verified,
wp-widget-text,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-text,animation_duration,select,,,animated-slow,verified,
wp-widget-text,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
wp-widget-text,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
wp-widget-text,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
wp-widget-categories,_element_width,select,,,elementor-widget__width-inherit,verified,
wp-widget-categories,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
wp-widget-categories,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
wp-widget-categories,_position,select,,,elementor-absolute,verified,
wp-widget-categories,_transform_flipX_effect,choose,,,e-transform,verified,
wp-widget-categories,_transform_flipX_effect_hover,choose,,,e-transform,verified,
wp-widget-categories,_transform_flipY_effect,choose,,,e-transform,verified,
wp-widget-categories,_transform_flipY_effect_hover,choose,,,e-transform,verified,
wp-widget-categories,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
wp-widget-categories,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-categories,_transform_scale_popover,popover_toggle,,,e-transform,verified,
wp-widget-categories,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-categories,_transform_skew_popover,popover_toggle,,,e-transform,verified,
wp-widget-categories,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-categories,_transform_translate_popover,popover_toggle,,,e-transform,verified,
wp-widget-categories,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-categories,animation_duration,select,,,animated-slow,verified,
wp-widget-categories,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
wp-widget-categories,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
wp-widget-categories,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
wp-widget-recent-posts,_element_width,select,,,elementor-widget__width-inherit,verified,
wp-widget-recent-posts,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
wp-widget-recent-posts,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
wp-widget-recent-posts,_position,select,,,elementor-absolute,verified,
wp-widget-recent-posts,_transform_flipX_effect,choose,,,e-transform,verified,
wp-widget-recent-posts,_transform_flipX_effect_hover,choose,,,e-transform,verified,
wp-widget-recent-posts,_transform_flipY_effect,choose,,,e-transform,verified,
wp-widget-recent-posts,_transform_flipY_effect_hover,choose,,,e-transform,verified,
wp-widget-recent-posts,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
wp-widget-recent-posts,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-recent-posts,_transform_scale_popover,popover_toggle,,,e-transform,verified,
wp-widget-recent-posts,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-recent-posts,_transform_skew_popover,popover_toggle,,,e-transform,verified,
wp-widget-recent-posts,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-recent-posts,_transform_translate_popover,popover_toggle,,,e-transform,verified,
wp-widget-recent-posts,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-recent-posts,animation_duration,select,,,animated-slow,verified,
wp-widget-recent-posts,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
wp-widget-recent-posts,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
wp-widget-recent-posts,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
wp-widget-recent-comments,_element_width,select,,,elementor-widget__width-inherit,verified,
wp-widget-recent-comments,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
wp-widget-recent-comments,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
wp-widget-recent-comments,_position,select,,,elementor-absolute,verified,
wp-widget-recent-comments,_transform_flipX_effect,choose,,,e-transform,verified,
wp-widget-recent-comments,_transform_flipX_effect_hover,choose,,,e-transform,verified,
wp-widget-recent-comments,_transform_flipY_effect,choose,,,e-transform,verified,
wp-widget-recent-comments,_transform_flipY_effect_hover,choose,,,e-transform,verified,
wp-widget-recent-comments,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
wp-widget-recent-comments,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-recent-comments,_transform_scale_popover,popover_toggle,,,e-transform,verified,
wp-widget-recent-comments,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-recent-comments,_transform_skew_popover,popover_toggle,,,e-transform,verified,
wp-widget-recent-comments,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-recent-comments,_transform_translate_popover,popover_toggle,,,e-transform,verified,
wp-widget-recent-comments,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-recent-comments,animation_duration,select,,,animated-slow,verified,
wp-widget-recent-comments,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
wp-widget-recent-comments,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
wp-widget-recent-comments,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
wp-widget-rss,_element_width,select,,,elementor-widget__width-inherit,no-element,the element renders nothing without site content
wp-widget-rss,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,no-element,the element renders nothing without site content
wp-widget-rss,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,no-element,the element renders nothing without site content
wp-widget-rss,_position,select,,,elementor-absolute,no-element,the element renders nothing without site content
wp-widget-rss,_transform_flipX_effect,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-rss,_transform_flipX_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-rss,_transform_flipY_effect,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-rss,_transform_flipY_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-rss,_transform_rotate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-rss,_transform_rotate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-rss,_transform_scale_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-rss,_transform_scale_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-rss,_transform_skew_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-rss,_transform_skew_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-rss,_transform_translate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-rss,_transform_translate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-rss,animation_duration,select,,,animated-slow,no-element,the element renders nothing without site content
wp-widget-rss,hide_desktop,switcher,,,elementor-hidden-desktop,no-element,the element renders nothing without site content
wp-widget-rss,hide_mobile,switcher,,,elementor-hidden-mobile,no-element,the element renders nothing without site content
wp-widget-rss,hide_tablet,switcher,,,elementor-hidden-tablet,no-element,the element renders nothing without site content
wp-widget-tag_cloud,_element_width,select,,,elementor-widget__width-inherit,no-element,the element renders nothing without site content
wp-widget-tag_cloud,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,no-element,the element renders nothing without site content
wp-widget-tag_cloud,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,no-element,the element renders nothing without site content
wp-widget-tag_cloud,_position,select,,,elementor-absolute,no-element,the element renders nothing without site content
wp-widget-tag_cloud,_transform_flipX_effect,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-tag_cloud,_transform_flipX_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-tag_cloud,_transform_flipY_effect,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-tag_cloud,_transform_flipY_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-tag_cloud,_transform_rotate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-tag_cloud,_transform_rotate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-tag_cloud,_transform_scale_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-tag_cloud,_transform_scale_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-tag_cloud,_transform_skew_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-tag_cloud,_transform_skew_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-tag_cloud,_transform_translate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-tag_cloud,_transform_translate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-tag_cloud,animation_duration,select,,,animated-slow,no-element,the element renders nothing without site content
wp-widget-tag_cloud,hide_desktop,switcher,,,elementor-hidden-desktop,no-element,the element renders nothing without site content
wp-widget-tag_cloud,hide_mobile,switcher,,,elementor-hidden-mobile,no-element,the element renders nothing without site content
wp-widget-tag_cloud,hide_tablet,switcher,,,elementor-hidden-tablet,no-element,the element renders nothing without site content
wp-widget-nav_menu,_element_width,select,,,elementor-widget__width-inherit,no-element,the element renders nothing without site content
wp-widget-nav_menu,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,no-element,the element renders nothing without site content
wp-widget-nav_menu,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,no-element,the element renders nothing without site content
wp-widget-nav_menu,_position,select,,,elementor-absolute,no-element,the element renders nothing without site content
wp-widget-nav_menu,_transform_flipX_effect,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-nav_menu,_transform_flipX_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-nav_menu,_transform_flipY_effect,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-nav_menu,_transform_flipY_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-nav_menu,_transform_rotate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-nav_menu,_transform_rotate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-nav_menu,_transform_scale_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-nav_menu,_transform_scale_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-nav_menu,_transform_skew_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-nav_menu,_transform_skew_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-nav_menu,_transform_translate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-nav_menu,_transform_translate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-nav_menu,animation_duration,select,,,animated-slow,no-element,the element renders nothing without site content
wp-widget-nav_menu,hide_desktop,switcher,,,elementor-hidden-desktop,no-element,the element renders nothing without site content
wp-widget-nav_menu,hide_mobile,switcher,,,elementor-hidden-mobile,no-element,the element renders nothing without site content
wp-widget-nav_menu,hide_tablet,switcher,,,elementor-hidden-tablet,no-element,the element renders nothing without site content
wp-widget-custom_html,_element_width,select,,,elementor-widget__width-inherit,verified,
wp-widget-custom_html,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
wp-widget-custom_html,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
wp-widget-custom_html,_position,select,,,elementor-absolute,verified,
wp-widget-custom_html,_transform_flipX_effect,choose,,,e-transform,verified,
wp-widget-custom_html,_transform_flipX_effect_hover,choose,,,e-transform,verified,
wp-widget-custom_html,_transform_flipY_effect,choose,,,e-transform,verified,
wp-widget-custom_html,_transform_flipY_effect_hover,choose,,,e-transform,verified,
wp-widget-custom_html,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
wp-widget-custom_html,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-custom_html,_transform_scale_popover,popover_toggle,,,e-transform,verified,
wp-widget-custom_html,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-custom_html,_transform_skew_popover,popover_toggle,,,e-transform,verified,
wp-widget-custom_html,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-custom_html,_transform_translate_popover,popover_toggle,,,e-transform,verified,
wp-widget-custom_html,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-custom_html,animation_duration,select,,,animated-slow,verified,
wp-widget-custom_html,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
wp-widget-custom_html,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
wp-widget-custom_html,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
wp-widget-block,_element_width,select,,,elementor-widget__width-inherit,no-element,the element renders nothing without site content
wp-widget-block,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,no-element,the element renders nothing without site content
wp-widget-block,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,no-element,the element renders nothing without site content
wp-widget-block,_position,select,,,elementor-absolute,no-element,the element renders nothing without site content
wp-widget-block,_transform_flipX_effect,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-block,_transform_flipX_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-block,_transform_flipY_effect,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-block,_transform_flipY_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-block,_transform_rotate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-block,_transform_rotate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-block,_transform_scale_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-block,_transform_scale_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-block,_transform_skew_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-block,_transform_skew_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-block,_transform_translate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-block,_transform_translate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-block,animation_duration,select,,,animated-slow,no-element,the element renders nothing without site content
wp-widget-block,hide_desktop,switcher,,,elementor-hidden-desktop,no-element,the element renders nothing without site content
wp-widget-block,hide_mobile,switcher,,,elementor-hidden-mobile,no-element,the element renders nothing without site content
wp-widget-block,hide_tablet,switcher,,,elementor-hidden-tablet,no-element,the element renders nothing without site content
wp-widget-woocommerce_widget_cart,_element_width,select,,,elementor-widget__width-inherit,verified,
wp-widget-woocommerce_widget_cart,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
wp-widget-woocommerce_widget_cart,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
wp-widget-woocommerce_widget_cart,_position,select,,,elementor-absolute,verified,
wp-widget-woocommerce_widget_cart,_transform_flipX_effect,choose,,,e-transform,verified,
wp-widget-woocommerce_widget_cart,_transform_flipX_effect_hover,choose,,,e-transform,verified,
wp-widget-woocommerce_widget_cart,_transform_flipY_effect,choose,,,e-transform,verified,
wp-widget-woocommerce_widget_cart,_transform_flipY_effect_hover,choose,,,e-transform,verified,
wp-widget-woocommerce_widget_cart,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
wp-widget-woocommerce_widget_cart,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-woocommerce_widget_cart,_transform_scale_popover,popover_toggle,,,e-transform,verified,
wp-widget-woocommerce_widget_cart,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-woocommerce_widget_cart,_transform_skew_popover,popover_toggle,,,e-transform,verified,
wp-widget-woocommerce_widget_cart,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-woocommerce_widget_cart,_transform_translate_popover,popover_toggle,,,e-transform,verified,
wp-widget-woocommerce_widget_cart,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
wp-widget-woocommerce_widget_cart,animation_duration,select,,,animated-slow,verified,
wp-widget-woocommerce_widget_cart,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
wp-widget-woocommerce_widget_cart,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
wp-widget-woocommerce_widget_cart,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
wp-widget-woocommerce_layered_nav_filters,_element_width,select,,,elementor-widget__width-inherit,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,_position,select,,,elementor-absolute,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,_transform_flipX_effect,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,_transform_flipX_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,_transform_flipY_effect,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,_transform_flipY_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,_transform_rotate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,_transform_rotate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,_transform_scale_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,_transform_scale_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,_transform_skew_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,_transform_skew_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,_transform_translate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,_transform_translate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,animation_duration,select,,,animated-slow,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,hide_desktop,switcher,,,elementor-hidden-desktop,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,hide_mobile,switcher,,,elementor-hidden-mobile,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav_filters,hide_tablet,switcher,,,elementor-hidden-tablet,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav,_element_width,select,,,elementor-widget__width-inherit,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav,_position,select,,,elementor-absolute,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav,_transform_flipX_effect,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav,_transform_flipX_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
wp-widget-woocommerce_layered_nav,_transform_flipY_effect,choose,,,e-transform,no-element,the element renders nothing without site content
